dataset,rows,cols,nnzs,merge-path,thread-mapped,group-mapped,minimum,elapsed,cusparse,speed-up,kernel,oracle-speed-up-kernel,oracle-speed-up
adder_dcop_08,1813,1813,11242,0.019043,0.0629883,0.094208,0.019043,0.019043,0.0480957,2.525636717,merge-path,merge-path,2.525636717
adder_dcop_09,1813,1813,11239,0.0180664,0.065918,0.0512,0.0180664,0.0180664,0.0510254,2.82432582,merge-path,merge-path,2.82432582
adder_dcop_10,1813,1813,11232,0.019043,0.0639648,0.0512,0.019043,0.019043,0.0539551,2.833329832,merge-path,merge-path,2.833329832
adder_dcop_11,1813,1813,11243,0.0180664,0.0639648,0.0512,0.0180664,0.0180664,0.0510254,2.82432582,merge-path,merge-path,2.82432582
adder_dcop_12,1813,1813,11246,0.0187988,0.0620117,0.0512,0.0187988,0.0187988,0.0529785,2.818185203,merge-path,merge-path,2.818185203
adder_dcop_13,1813,1813,11245,0.0180664,0.0678711,0.101376,0.0180664,0.0180664,0.052002,2.878381969,merge-path,merge-path,2.878381969
adder_dcop_14,1813,1813,11246,0.019043,0.064209,0.0512,0.019043,0.019043,0.046875,2.461534422,merge-path,merge-path,2.461534422
adder_dcop_15,1813,1813,11246,0.019043,0.0639648,0.0512,0.019043,0.019043,0.0510254,2.679483275,merge-path,merge-path,2.679483275
adder_dcop_16,1813,1813,11246,0.019043,0.0649414,0.0512,0.019043,0.019043,0.0449219,2.358971801,merge-path,merge-path,2.358971801
adder_dcop_17,1813,1813,11246,0.019043,0.0639648,0.072704,0.019043,0.019043,0.0500488,2.628199338,merge-path,merge-path,2.628199338
adder_dcop_18,1813,1813,11246,0.019043,0.0620117,0.0512,0.019043,0.019043,0.0600586,3.153841307,merge-path,merge-path,3.153841307
adder_dcop_19,1813,1813,11245,0.019043,0.0668945,0.052224,0.019043,0.019043,0.0559082,2.935892454,merge-path,merge-path,2.935892454
adder_dcop_20,1813,1813,11246,0.0178223,0.0620117,0.202752,0.0178223,0.0178223,0.0490723,2.753421276,merge-path,merge-path,2.753421276
adder_dcop_21,1813,1813,11246,0.019043,0.0639648,0.0512,0.019043,0.019043,0.052002,2.730767211,merge-path,merge-path,2.730767211
adder_dcop_22,1813,1813,11246,0.019043,0.0649414,0.0512,0.019043,0.019043,0.0539551,2.833329832,merge-path,merge-path,2.833329832
adder_dcop_23,1813,1813,11246,0.0200195,0.064209,0.0512,0.0200195,0.0200195,0.046875,2.34146707,merge-path,merge-path,2.34146707
adder_dcop_24,1813,1813,11246,0.0180664,0.059082,0.0512,0.0180664,0.0180664,0.052002,2.878381969,merge-path,merge-path,2.878381969
adder_dcop_25,1813,1813,11246,0.0180664,0.0639648,0.053248,0.0180664,0.0180664,0.052002,2.878381969,merge-path,merge-path,2.878381969
adder_dcop_26,1813,1813,11246,0.0180664,0.0639648,0.0512,0.0180664,0.0180664,0.0510254,2.82432582,merge-path,merge-path,2.82432582
adder_dcop_27,1813,1813,11246,0.019043,0.0639648,0.0512,0.019043,0.019043,0.0500488,2.628199338,merge-path,merge-path,2.628199338
adder_dcop_28,1813,1813,11246,0.019043,0.0678711,0.082944,0.019043,0.019043,0.052002,2.730767211,merge-path,merge-path,2.730767211
adder_dcop_29,1813,1813,11246,0.019043,0.0639648,0.054272,0.019043,0.019043,0.0490723,2.576920653,merge-path,merge-path,2.576920653
adder_dcop_30,1813,1813,11246,0.019043,0.0649414,0.0512,0.019043,0.019043,0.052002,2.730767211,merge-path,merge-path,2.730767211
adder_dcop_31,1813,1813,11246,0.019043,0.0649414,0.0512,0.019043,0.019043,0.052002,2.730767211,merge-path,merge-path,2.730767211
adder_dcop_32,1813,1813,11246,0.019043,0.0649414,0.0512,0.019043,0.019043,0.0510254,2.679483275,merge-path,merge-path,2.679483275
