kernel,dataset,rows,cols,nnzs,elapsed
group-mapped,freeFlyingRobot_8_mapping,1,2,3,0.011264
group-mapped,freeFlyingRobot_8,4398,4398,34958,0.044
group-mapped,freeFlyingRobot_2_mapping,1,2,3,0.011264
group-mapped,freeFlyingRobot_2,1338,1338,11600,0.028672
group-mapped,tumorAntiAngiogenesis_4_b,0,0,0,0.006144
group-mapped,tumorAntiAngiogenesis_4_mapping,1,2,3,0.009216
group-mapped,tumorAntiAngiogenesis_4,455,455,4593,0.029696
group-mapped,dynamicSoaringProblem_7_mapping,1,2,3,0.01024
group-mapped,dynamicSoaringProblem_7_b,0,0,0,0.005152
group-mapped,dynamicSoaringProblem_7,3511,3511,37680,0.0768
group-mapped,lowThrust_4_mapping,1,2,3,0.011264
group-mapped,lowThrust_4,13562,13562,160947,0.316416
group-mapped,spaceStation_12_mapping,1,2,3,0.01024
group-mapped,spaceStation_12,1410,1410,19728,0.032768
group-mapped,spaceStation_5_mapping,1,2,3,0.013344
group-mapped,spaceStation_5,1019,1019,15219,0.032768
group-mapped,goddardRocketProblem_2_b,0,0,0,0.006144
group-mapped,goddardRocketProblem_2_mapping,1,2,3,0.01024
group-mapped,goddardRocketProblem_2,867,867,9058,0.031744
group-mapped,reorientation_7_mapping,1,2,3,0.01024
group-mapped,reorientation_7,3057,3057,37150,0.104448
group-mapped,spaceShuttleEntry_1_mapping,1,2,3,0.014336
group-mapped,spaceShuttleEntry_1,560,560,6891,0.032768
group-mapped,spaceShuttleEntry_1_b,0,0,0,0.006144
group-mapped,freeFlyingRobot_15_mapping,1,2,3,0.01024
group-mapped,freeFlyingRobot_15,6038,6038,43378,0.223232
group-mapped,orbitRaising_1,442,442,2906,0.02048
group-mapped,orbitRaising_1_mapping,1,2,3,0.011264
group-mapped,freeFlyingRobot_12,5578,5578,41940,0.052224
group-mapped,freeFlyingRobot_12_mapping,1,2,3,0.01024
group-mapped,spaceStation_8,1157,1157,18945,0.058368
group-mapped,spaceStation_8_mapping,1,2,3,0.01024
group-mapped,spaceStation_2,329,329,5817,0.033792
group-mapped,spaceStation_2_mapping,1,2,3,0.01024
group-mapped,lowThrust_9_mapping,1,2,3,0.013312
group-mapped,lowThrust_9,18044,18044,219589,0.51712
group-mapped,lowThrust_3,7064,7064,80645,0.31744
group-mapped,lowThrust_3_mapping,1,2,3,0.013312
group-mapped,kineticBatchReactor_3_mapping,1,2,3,0.016384
group-mapped,kineticBatchReactor_3,5082,5082,53219,0.103424
group-mapped,kineticBatchReactor_9,8115,8115,86183,0.1792
group-mapped,kineticBatchReactor_9_mapping,1,2,3,0.01024
group-mapped,freeFlyingRobot_5,2878,2878,24582,0.077824
group-mapped,freeFlyingRobot_5_mapping,1,2,3,0.012256
group-mapped,tumorAntiAngiogenesis_3_mapping,1,2,3,0.01024
group-mapped,tumorAntiAngiogenesis_3,410,410,3952,0.027648
group-mapped,tumorAntiAngiogenesis_3_b,0,0,0,0.006144
group-mapped,tumorAntiAngiogenesis_7_mapping,1,2,3,0.009216
group-mapped,tumorAntiAngiogenesis_7,475,475,4597,0.03072
group-mapped,tumorAntiAngiogenesis_7_b,0,0,0,0.006144
group-mapped,freeFlyingRobot_1_mapping,1,2,3,0.01024
group-mapped,freeFlyingRobot_1,798,798,5246,0.02048
group-mapped,kineticBatchReactor_7_mapping,1,2,3,0.013312
group-mapped,kineticBatchReactor_7,7968,7968,84508,0.177152
group-mapped,lowThrust_11,18368,18368,223801,0.539648
group-mapped,lowThrust_11_mapping,1,2,3,0.013312
group-mapped,hangGlider_3_mapping,1,2,3,0.009216
group-mapped,hangGlider_3,10260,10260,92703,0.285696
group-mapped,hangGlider_3_b,0,0,0,0.006144
group-mapped,lowThrust_7_mapping,1,2,3,0.011264
group-mapped,lowThrust_7,17378,17378,211561,0.90112
group-mapped,dynamicSoaringProblem_4_mapping,1,2,3,0.008192
group-mapped,dynamicSoaringProblem_4_b,0,0,0,0.006144
group-mapped,dynamicSoaringProblem_4,3191,3191,36516,0.068608
group-mapped,reorientation_4_mapping,1,2,3,0.01024
group-mapped,reorientation_4,2717,2717,33630,0.091136
group-mapped,goddardRocketProblem_1_b,0,0,0,0.009216
group-mapped,goddardRocketProblem_1,831,831,8498,0.034816
group-mapped,goddardRocketProblem_1_mapping,1,2,3,0.01024
group-mapped,spaceStation_6_mapping,1,2,3,0.01024
group-mapped,spaceStation_6,1111,1111,17595,0.034816
group-mapped,spaceStation_11,1364,1364,18954,0.058368
group-mapped,spaceStation_11_mapping,1,2,3,0.01024
group-mapped,orbitRaising_2_mapping,1,2,3,0.012288
group-mapped,orbitRaising_2,739,739,6526,0.0256
group-mapped,freeFlyingRobot_16,6078,6078,44006,0.086016
group-mapped,freeFlyingRobot_16_mapping,1,2,3,0.01024
group-mapped,spaceShuttleEntry_2,1428,1428,24073,0.060416
group-mapped,spaceShuttleEntry_2_b,0,0,0,0.006176
group-mapped,spaceShuttleEntry_2_mapping,1,2,3,0.009248
group-mapped,freeFlyingRobot_11,5438,5438,40054,0.0512
group-mapped,freeFlyingRobot_11_mapping,1,2,3,0.012288
group-mapped,reorientation_3_mapping,1,2,3,0.009216
group-mapped,reorientation_3,2513,2513,32166,0.16896
group-mapped,spaceStation_1,99,99,927,0.023552
group-mapped,spaceStation_1_mapping,1,2,3,0.009216
group-mapped,dynamicSoaringProblem_3_mapping,1,2,3,0.013312
group-mapped,dynamicSoaringProblem_3,2871,2871,32022,0.06656
group-mapped,dynamicSoaringProblem_3_b,0,0,0,0.006144
group-mapped,hangGlider_4,15561,15561,149532,0.432128
group-mapped,hangGlider_4_b,0,0,0,0.006144
group-mapped,hangGlider_4_mapping,1,2,3,0.01024
group-mapped,freeFlyingRobot_6_mapping,1,2,3,0.01024
group-mapped,freeFlyingRobot_6,3358,3358,27030,0.068608
group-mapped,lowThrust_2,2312,2312,26261,0.0512
group-mapped,lowThrust_2_mapping,1,2,3,0.011264
group-mapped,lowThrust_8_mapping,1,2,3,0.01024
group-mapped,lowThrust_8,17702,17702,216445,0.497664
group-mapped,dynamicSoaringProblem_1,647,647,5367,0.023552
group-mapped,dynamicSoaringProblem_1_b,0,0,0,0.006144
group-mapped,dynamicSoaringProblem_1_mapping,1,2,3,0.011264
group-mapped,tumorAntiAngiogenesis_2_mapping,1,2,3,0.01024
group-mapped,tumorAntiAngiogenesis_2,305,305,2699,0.024576
group-mapped,tumorAntiAngiogenesis_2_b,0,0,0,0.006144
group-mapped,kineticBatchReactor_8_mapping,1,2,3,0.01232
group-mapped,kineticBatchReactor_8,8052,8052,85194,0.178176
group-mapped,freeFlyingRobot_4_mapping,1,2,3,0.009216
group-mapped,freeFlyingRobot_4,2358,2358,18218,0.028672
group-mapped,kineticBatchReactor_2,4361,4361,44840,0.39424
group-mapped,kineticBatchReactor_2_mapping,1,2,3,0.010208
group-mapped,tumorAntiAngiogenesis_8,490,490,4776,0.031744
group-mapped,tumorAntiAngiogenesis_8_b,0,0,0,0.006144
group-mapped,tumorAntiAngiogenesis_8_mapping,1,2,3,0.028672
