kernel,dataset,rows,cols,nnzs,elapsed
thread-mapped,af_shell3,504855,504855,17588875,0.967041
thread-mapped,af_shell4,504855,504855,17588875,0.970947
thread-mapped,af_shell5,504855,504855,17588875,0.981934
thread-mapped,af_shell6,504855,504855,17588875,0.974121
thread-mapped,af_shell7,504855,504855,17588875,0.977051
thread-mapped,af_shell8,504855,504855,17588875,0.979004
thread-mapped,af_shell9,504855,504855,17588875,0.984863
thread-mapped,af23560,23560,23560,484256,0.0200195
thread-mapped,aft01,8205,8205,125567,0.0129395
thread-mapped,air02,50,6774,61555,0.202148
thread-mapped,air03,124,10757,91028,0.218994
thread-mapped,air04,823,8904,72965,0.0351562
thread-mapped,air05,426,7195,52121,0.0390625
thread-mapped,air06,825,8627,70806,0.0410156
thread-mapped,aircraft,3754,7517,20267,0.0109863
thread-mapped,airfoil_2d,14214,14214,259688,0.0158691
thread-mapped,airfoil1,4253,4253,24578,0.0131836
thread-mapped,airfoil1_dual,8034,8034,23626,0.0109863
thread-mapped,ak2010,45292,45292,217098,0.0310059
thread-mapped,al2010,252266,252266,1230482,0.052002
thread-mapped,Alemdar,6245,6245,42581,0.0109863
thread-mapped,amazon-2008,735323,735323,5158388,0.195801
thread-mapped,amazon0302,262111,262111,1234877,0.0439453
thread-mapped,amazon0312,400727,400727,3200440,0.119141
thread-mapped,amazon0505,410236,410236,3356824,0.125977
thread-mapped,amazon0601,403394,403394,3387388,0.125
thread-mapped,analytics,303813,303813,2006126,2.32617
thread-mapped,Andrews,60000,60000,760154,0.0319824
thread-mapped,apache1,80800,80800,542184,0.0161133
thread-mapped,apache2,715176,715176,4817870,0.116211
thread-mapped,appu,14000,14000,1853104,0.0749512
thread-mapped,ar2010,186211,186211,904310,0.0388184
thread-mapped,arabic-2005,22744080,22744080,639999458,29.7859
thread-mapped,arc130,130,130,1282,0.0168457
thread-mapped,as-22july06,22963,22963,96872,0.134033
thread-mapped,as-735,7716,7716,26467,0.0678711
thread-mapped,as-735_G_001,7716,7716,10695,0.0368652
thread-mapped,as-735_G_002,7716,7716,10687,0.0380859
thread-mapped,as-735_G_003,7716,7716,10773,0.0368652
thread-mapped,as-735_G_004,7716,7716,10736,0.0371094
thread-mapped,as-735_G_005,7716,7716,10782,0.0378418
thread-mapped,as-735_G_006,7716,7716,10631,0.0368652
thread-mapped,as-735_G_007,7716,7716,10799,0.0368652
