kernel,dataset,rows,cols,nnzs,elapsed
merge-path,c-69,67458,67458,623970,0.0310059
merge-path,c-70,68924,68924,658986,0.0341797
merge-path,c-71,76638,76638,859554,0.0380859
merge-path,c-72,84064,84064,707558,0.0351562
merge-path,c-73,169422,169422,1279274,0.045166
merge-path,c-73b,169422,169422,1279274,0.0449219
merge-path,c-big,345241,345241,2341011,0.0708008
merge-path,c8_mat11,4562,5761,2462970,0.0529785
merge-path,c8_mat11_I,4562,5761,2462970,0.0539551
merge-path,ca-AstroPh,18772,18772,396160,0.0290527
merge-path,ca-CondMat,23133,23133,186936,0.0229492
merge-path,ca-GrQc,5242,5242,28980,0.019043
merge-path,ca-HepPh,12008,12008,237010,0.0239258
merge-path,ca-HepTh,9877,9877,51971,0.0187988
merge-path,ca2010,710145,710145,3489366,0.124023
merge-path,CAG_mat1916,1916,1916,195985,0.0209961
merge-path,CAG_mat364,364,364,13585,0.0187988
merge-path,CAG_mat72,72,72,1012,0.0178223
merge-path,cage,366,366,5124,0.019043
merge-path,cage_G_01,10,10,30,0.0151367
merge-path,cage_G_02,14,14,42,0.0151367
merge-path,cage_G_03,24,24,72,0.0158691
merge-path,cage_G_04,30,30,90,0.0158691
merge-path,cage_G_05,58,58,174,0.0161133
merge-path,cage_G_06,58,58,174,0.0158691
merge-path,cage_G_07,58,58,174,0.0170898
merge-path,cage_G_08,58,58,174,0.0148926
merge-path,cage_G_09,58,58,174,0.0158691
merge-path,cage_G_10,58,58,174,0.0151367
merge-path,cage_G_11,58,58,174,0.0161133
merge-path,cage_G_12,58,58,174,0.0158691
merge-path,cage_G_13,58,58,174,0.0170898
merge-path,cage_G_14,58,58,174,0.0158691
merge-path,cage_G_15,58,58,174,0.0151367
merge-path,cage_G_16,58,58,174,0.0170898
merge-path,cage_G_17,58,58,174,0.0161133
merge-path,cage_G_18,58,58,174,0.0148926
merge-path,cage_G_19,58,58,174,0.0158691
merge-path,cage_G_20,58,58,174,0.0158691
merge-path,cage_G_21,58,58,174,0.0148926
merge-path,cage_G_22,58,58,174,0.0148926
merge-path,cage_G_23,70,70,210,0.0158691
merge-path,cage_G_24,70,70,210,0.0148926
merge-path,cage_G_25,70,70,210,0.0151367
merge-path,cage_G_26,112,112,336,0.0148926
merge-path,cage_G_27,126,126,378,0.0151367
merge-path,cage_G_28,272,272,816,0.019043
merge-path,cage_G_29,406,406,1218,0.0209961
merge-path,cage_G_30,620,620,1860,0.0249023
merge-path,cage_G_31,19,19,76,0.0148926
merge-path,cage_G_32,26,26,104,0.0161133
merge-path,cage_G_33,76,76,304,0.0148926
merge-path,cage_G_34,80,80,320,0.0151367
merge-path,cage_G_35,30,30,150,0.0151367
merge-path,cage_G_36,42,42,210,0.0151367
merge-path,cage_G_37,62,62,372,0.0148926
merge-path,cage_G_38,50,50,350,0.0158691
merge-path,cage_G_39,94,94,752,0.0151367
merge-path,cage_G_40,114,114,912,0.019043
merge-path,cage_G_41,118,118,1062,0.019043
merge-path,cage_G_42,146,146,1314,0.019043
merge-path,cage_G_43,182,182,1820,0.0219727
merge-path,cage_G_44,266,266,3192,0.0200195
merge-path,cage_G_45,366,366,5124,0.019043
merge-path,cage10,11397,11397,150645,0.0209961
merge-path,cage11,39082,39082,559722,0.0280762
merge-path,cage12,130228,130228,2032536,0.0559082
merge-path,cage13,445315,445315,7479343,0.160156
merge-path,cage14,1505785,1505785,27130349,0.406006
merge-path,cage15,5154859,5154859,99199551,1.46191
merge-path,cage3,5,5,19,0.013916
merge-path,cage4,9,9,49,0.013916
merge-path,cage5,37,37,233,0.0151367
merge-path,cage6,93,93,785,0.0158691
merge-path,cage7,340,340,3084,0.019043
merge-path,cage8,1015,1015,11003,0.019043
merge-path,cage9,3534,3534,41594,0.019043
merge-path,caidaRouterLevel,192244,192244,1218132,0.0529785
merge-path,California,9664,9664,16150,0.019043
merge-path,can_1054,1054,1054,12196,0.0187988
merge-path,can_1072,1072,1072,12444,0.0180664
merge-path,can_144,144,144,1296,0.0180664
merge-path,can_161,161,161,1377,0.0187988
merge-path,can_187,187,187,1491,0.0187988
merge-path,can_229,229,229,1777,0.0180664
merge-path,can_24,24,24,160,0.0148926
merge-path,can_256,256,256,2916,0.0200195
merge-path,can_268,268,268,3082,0.0180664
merge-path,can_292,292,292,2540,0.0187988
merge-path,can_445,445,445,3809,0.0187988
merge-path,can_61,61,61,557,0.0151367
merge-path,can_62,62,62,218,0.0151367
merge-path,can_634,634,634,7228,0.019043
merge-path,can_715,715,715,6665,0.019043
merge-path,can_73,73,73,377,0.0148926
merge-path,can_838,838,838,10010,0.0209961
merge-path,can_96,96,96,768,0.0168457
merge-path,cant,62451,62451,4007383,0.0839844
merge-path,car4,16384,33052,63724,0.0200195
merge-path,cari,400,1200,152800,0.0200195
merge-path,case39,40216,40216,1042160,0.0400391
merge-path,case39_A_01,40216,40216,1042160,0.0400391
merge-path,case39_A_02,40216,40216,1042170,0.0388184
merge-path,case39_A_03,40216,40216,1042170,0.0390625
merge-path,case39_A_04,40216,40216,1042170,0.0390625
merge-path,case39_A_05,40216,40216,1042170,0.0397949
merge-path,case39_A_06,40216,40216,1042170,0.0368652
merge-path,case39_A_07,40216,40216,1042170,0.0388184
merge-path,case39_A_08,40216,40216,1042170,0.0388184
merge-path,case39_A_09,40216,40216,1042170,0.0380859
merge-path,case39_A_10,40216,40216,1042170,0.0390625
merge-path,case39_A_11,40216,40216,1042170,0.0390625
merge-path,case39_A_12,40216,40216,1042170,0.0390625
merge-path,case39_A_13,40216,40216,1042170,0.0390625
merge-path,case39_b,40216,1,40215,0.0249023
merge-path,case39_b1_01,40216,1,40215,0.0219727
merge-path,case39_b1_02,40216,1,40215,0.0200195
merge-path,case39_b1_03,40216,1,40215,0.0200195
merge-path,case39_b1_04,40216,1,40215,0.0200195
merge-path,case39_b1_05,40216,1,40215,0.0200195
merge-path,case39_b1_06,40216,1,40215,0.019043
merge-path,case39_b1_07,40216,1,40215,0.019043
merge-path,case39_b1_08,40216,1,40215,0.0200195
merge-path,case39_b1_09,40216,1,40215,0.0209961
merge-path,case39_b1_10,40216,1,40215,0.0200195
merge-path,case39_b1_11,40216,1,40214,0.0187988
merge-path,case39_b1_12,40216,1,39362,0.0197754
merge-path,case39_b1_13,40216,1,38714,0.019043
merge-path,case39_b2_01,40216,1,40215,0.0251465
merge-path,case39_b2_02,40216,1,40215,0.0209961
merge-path,case39_b2_03,40216,1,40215,0.0197754
merge-path,case39_b2_04,40216,1,40215,0.0200195
merge-path,case39_b2_05,40216,1,40215,0.0200195
merge-path,case39_b2_06,40216,1,40215,0.0200195
merge-path,case39_b2_07,40216,1,40215,0.0200195
merge-path,case39_b2_08,40216,1,40215,0.0209961
merge-path,case39_b2_09,40216,1,40215,0.019043
merge-path,case39_b2_10,40216,1,40215,0.0209961
merge-path,case39_b2_11,40216,1,40214,0.0200195
merge-path,case39_b2_12,40216,1,39362,0.019043
merge-path,case39_b2_13,40216,1,38714,0.0200195
merge-path,case9,14454,14454,147972,0.0200195
merge-path,case9_A_01,14454,14454,147972,0.0212402
merge-path,case9_A_02,14454,14454,147972,0.0209961
merge-path,case9_A_03,14454,14454,147972,0.0200195
merge-path,case9_A_04,14454,14454,147972,0.0209961
merge-path,case9_A_05,14454,14454,147972,0.0200195
merge-path,case9_A_06,14454,14454,147972,0.0197754
merge-path,case9_A_07,14454,14454,147972,0.0229492
merge-path,case9_A_08,14454,14454,147972,0.0219727
merge-path,case9_A_09,14454,14454,147972,0.0209961
merge-path,case9_A_10,14454,14454,147972,0.0219727
merge-path,case9_A_11,14454,14454,147972,0.0209961
merge-path,case9_A_12,14454,14454,147972,0.0219727
merge-path,case9_b,14454,1,14453,0.0180664
merge-path,case9_b1_01,14454,1,14453,0.019043
merge-path,case9_b1_02,14454,1,14453,0.019043
merge-path,case9_b1_03,14454,1,14453,0.0197754
merge-path,case9_b1_04,14454,1,14453,0.019043
merge-path,case9_b1_05,14454,1,14453,0.0200195
merge-path,case9_b1_06,14454,1,14453,0.019043
merge-path,case9_b1_07,14454,1,14453,0.0200195
merge-path,case9_b1_08,14454,1,14453,0.0180664
merge-path,case9_b1_09,14454,1,14453,0.019043
merge-path,case9_b1_10,14454,1,13936,0.0197754
merge-path,case9_b1_11,14454,1,14134,0.0187988
merge-path,case9_b1_12,14454,1,14146,0.0209961
merge-path,case9_b2_01,14454,1,14453,0.0178223
merge-path,case9_b2_02,14454,1,14453,0.0209961
merge-path,case9_b2_03,14454,1,14453,0.019043
merge-path,case9_b2_04,14454,1,14453,0.0200195
merge-path,case9_b2_05,14454,1,14453,0.0200195
merge-path,case9_b2_06,14454,1,14453,0.0180664
merge-path,case9_b2_07,14454,1,14453,0.019043
merge-path,case9_b2_08,14454,1,14453,0.0200195
merge-path,case9_b2_09,14454,1,14453,0.0180664
merge-path,case9_b2_10,14454,1,13936,0.0209961
merge-path,case9_b2_11,14454,1,14134,0.0187988
merge-path,case9_b2_12,14454,1,14146,0.0200195
