kernel,dataset,rows,cols,nnzs,elapsed
cusparse,vsp_p0291_seymourl_iiasa,10498,10498,107736,0.10498
cusparse,hugetrace-00000,4588484,4588484,13758266,0.466064
cusparse,coPapersDBLP,540486,540486,30491458,0.414062
cusparse,vsp_south31_slptsk,39668,39668,379828,0.0620117
cusparse,Chebyshev3,4101,4101,36879,0.0529785
cusparse,Chebyshev1,261,261,2319,0.052002
cusparse,Chebyshev2,2053,2053,18447,0.0500488
cusparse,Chebyshev4,68121,68121,5377761,0.120117
cusparse,lshp1882,1882,1882,12904,0.0529785
cusparse,ash219,219,85,438,0.0449219
cusparse,bcsstm21,3600,3600,3600,0.0539551
cusparse,lshp2614,2614,2614,17980,0.0559082
cusparse,west0132,132,132,414,0.0480957
cusparse,bcsstk15,3948,3948,117816,0.052002
cusparse,dwt_307,307,307,2523,0.052002
cusparse,bcsstm19,817,817,817,0.0449219
cusparse,channel-500x100x100-b050,4802000,4802000,85362744,1.21094
cusparse,dwt_592,592,592,5104,0.0488281
cusparse,bcsstm13,2003,2003,21943,0.0549316
cusparse,lnsp_131,131,131,536,0.0478516
cusparse,impcol_d,425,425,1339,0.0498047
cusparse,fs_183_4,183,183,1069,0.0471191
cusparse,str_400,363,363,3157,0.0490723
cusparse,gre_1107,1107,1107,5664,0.0568848
cusparse,jagmesh2,1009,1009,6865,0.052002
cusparse,illc1033,1033,320,4732,0.052002
cusparse,dwt_245,245,245,1461,0.0449219
cusparse,bcsstk27,1224,1224,56126,0.0529785
cusparse,jagmesh8,1141,1141,7465,0.0571289
cusparse,fs_541_4,541,541,4285,0.0529785
cusparse,saylr1,238,238,1128,0.0458984
cusparse,gr_30_30,900,900,7744,0.0549316
cusparse,bcspwr05,443,443,1623,0.0490723
cusparse,can_73,73,73,377,0.046875
cusparse,west2021,2021,2021,7353,0.0510254
cusparse,shl_0,663,663,1687,0.0458984
cusparse,bcsstk06,420,420,7860,0.0488281
cusparse,sherman1,1000,1000,3750,0.0551758
cusparse,west0156,156,156,371,0.0490723
cusparse,dwt_512,512,512,3502,0.0478516
cusparse,ash608,608,188,1216,0.0500488
cusparse,abb313,313,176,1557,0.046875
cusparse,nos4,100,100,594,0.0419922
cusparse,nnc666,666,666,4044,0.052002
cusparse,cegb2919,2919,2919,321543,0.0568848
cusparse,will199,199,199,701,0.0461426
cusparse,dwt_221,221,221,1629,0.0480957
cusparse,bp_1400,822,822,4790,0.0539551
cusparse,bcsstk33,8738,8738,591904,0.0620117
cusparse,bcsstm07,420,420,7252,0.0510254
cusparse,psmigr_3,3140,3140,543162,0.0620117
cusparse,hor_131,434,434,4710,0.0507812
cusparse,west1505,1505,1505,5445,0.0549316
cusparse,dwt_1242,1242,1242,10426,0.0480957
cusparse,wm2,207,260,2942,0.052002
cusparse,pores_1,30,30,180,0.0490723
cusparse,nos3,960,960,15844,0.0539551
cusparse,bcsstk01,48,48,400,0.046875
cusparse,bcspwr02,49,49,167,0.0439453
cusparse,bp_600,822,822,4172,0.0549316
cusparse,bcspwr08,1624,1624,6050,0.0529785
cusparse,plat362,362,362,5786,0.0500488
cusparse,jagmesh5,1180,1180,7750,0.0510254
cusparse,can_838,838,838,10010,0.0490723
cusparse,bcsstk20,485,485,3135,0.0507812
cusparse,west0989,989,989,3537,0.0500488
cusparse,fs_541_3,541,541,4285,0.0510254
cusparse,can_256,256,256,2916,0.052002
cusparse,steam2,600,600,13760,0.0510254
cusparse,dwt_492,492,492,3156,0.046875
cusparse,impcol_c,137,137,411,0.0488281
cusparse,gemat11,4929,4929,33185,0.0549316
cusparse,fs_183_3,183,183,1069,0.045166
cusparse,bcsstk18,11948,11948,149090,0.0549316
cusparse,jgl011,11,11,76,0.0429688
cusparse,rgg010,10,10,76,0.0480957
cusparse,lund_a,147,147,2449,0.0529785
cusparse,arc130,130,130,1282,0.0461426
cusparse,bcsstk12,1473,1473,34241,0.0529785
